,Feature,Importance
2,stem-width,0.08221166966868625
47,stem-color_white,0.06038971671851976
34,gill-color_white,0.0251951312701272
0,cap-diameter,0.020795808089078105
1,stem-height,0.020075323399377787
3,cap-shape_bell,0.012488401288139328
12,cap-color_brown,0.0122919054636756
19,cap-color_red,0.008787729927405707
58,ring-type_zone,0.00822007532339939
35,gill-color_yellow,0.006800938813383573
29,gill-color_none,0.004683150483052278
23,does-bruise-or-bleed_no,0.004683150483052257
25,gill-color_brown,0.0042137437912777905
4,cap-shape_conical,0.0038207521423503366
70,season_winter,0.0036351727525790077
5,cap-shape_convex,0.0031766824954970073
31,gill-color_pink,0.002488947109873951
22,does-bruise-or-bleed_bruises-or-bleeding,0.0024452813711042243
38,stem-color_brown,0.002259701981332918
52,ring-type_flaring,0.001888543201790327
49,has-ring_none,0.0018121281589433158
48,stem-color_yellow,0.0014628022487855664
66,habitat_woods,0.0014628022487855664
20,cap-color_white,0.0013754707712461344
15,cap-color_green,0.001277222859014282
27,gill-color_gray,0.001233557120244555
59,habitat_grasses,0.0011898913814748502
14,cap-color_gray,0.001178974946782385
9,cap-shape_sunken,0.0008296490366246579
6,cap-shape_flat,0.0007750668631625324
60,habitat_heaths,0.0007750668631625101
50,has-ring_ring,0.0007095682550079419
21,cap-color_yellow,0.0005785710386988052
69,season_summer,0.0005567381693139195
61,habitat_leaves,0.0003929916489274765
56,ring-type_none,0.0003274930407729082
68,season_spring,0.0003056601713880447
18,cap-color_purple,0.0002729108673107383
16,cap-color_orange,0.00020741225915617002
33,gill-color_red,0.0001637465203864208
28,gill-color_green,0.00015283008569400014
43,stem-color_orange,0.00012008078161676038
62,habitat_meadows,0.00012008078161673819
13,cap-color_buff,0.00010916434692431753
10,cap-color_black,8.733147753947623e-05
46,stem-color_red,7.641504284705558e-05
30,gill-color_orange,7.641504284701117e-05
40,stem-color_gray,6.549860815461273e-05
7,cap-shape_others,5.458217346219207e-05
57,ring-type_pendant,5.458217346216987e-05
54,ring-type_large,4.366573876977142e-05
67,season_autumn,4.3665738769749216e-05
17,cap-color_pink,3.2749304077328564e-05
8,cap-shape_spherical,3.2749304077328564e-05
45,stem-color_purple,3.2749304077306365e-05
51,ring-type_evanescent,2.183286938488571e-05
11,cap-color_blue,1.0916434692442855e-05
24,gill-color_black,1.0916434692442855e-05
44,stem-color_pink,1.0916434692442855e-05
55,ring-type_movable,0.0
37,stem-color_blue,0.0
53,ring-type_grooved,0.0
39,stem-color_buff,0.0
63,habitat_paths,0.0
64,habitat_urban,0.0
65,habitat_waste,0.0
41,stem-color_green,0.0
42,stem-color_none,0.0
36,stem-color_black,0.0
32,gill-color_purple,-1.0916434692420651e-05
26,gill-color_buff,-1.0916434692420651e-05
