,Feature,Importance
2,stem-width,0.08244202530090934
47,stem-color_white,0.07950557576804414
1,stem-height,0.018619155877635206
34,gill-color_white,0.01765114321536867
0,cap-diameter,0.017321028155226202
3,cap-shape_bell,0.012983151961912664
12,cap-color_brown,0.0114312120754545
58,ring-type_zone,0.009960564282844397
35,gill-color_yellow,0.00690726071898935
19,cap-color_red,0.006776436025647081
29,gill-color_none,0.005423658341760351
23,does-bruise-or-bleed_no,0.004650389796965504
4,cap-shape_conical,0.004306480985068384
70,season_winter,0.003967847981609718
50,has-ring_ring,0.0028320057300143197
25,gill-color_brown,0.002677203643740955
22,does-bruise-or-bleed_bruises-or-bleeding,0.0025556584547654195
5,cap-shape_convex,0.0023191708850509585
38,stem-color_brown,0.001969860872533902
48,stem-color_yellow,0.0019049813764980827
31,gill-color_pink,0.001752700478088487
15,cap-color_green,0.0017284187407394346
59,habitat_grasses,0.001635645069539704
9,cap-shape_sunken,0.001577869209264149
52,ring-type_flaring,0.0013711964968261769
14,cap-color_gray,0.001257936071939869
66,habitat_woods,0.0012206138490679975
20,cap-color_white,0.0010977682338716654
27,gill-color_gray,0.0008631699656914682
21,cap-color_yellow,0.0007383689180729735
49,has-ring_none,0.0006776185754321151
56,ring-type_none,0.0006276576882166873
69,season_summer,0.0004525965678286559
60,habitat_heaths,0.00045140393213418675
6,cap-shape_flat,0.00043357933337022646
18,cap-color_purple,0.0002955068355190438
16,cap-color_orange,0.00024547187899495173
62,habitat_meadows,0.00020648624085908284
61,habitat_leaves,0.0001768887325523938
67,season_autumn,0.0001583342126230347
7,cap-shape_others,0.00015758331471218411
43,stem-color_orange,0.00010799175076279255
33,gill-color_red,0.00010790580901849367
28,gill-color_green,0.00010786236070075006
68,season_spring,8.842167090561404e-05
46,stem-color_red,6.864108569466509e-05
40,stem-color_gray,5.913031398991908e-05
44,stem-color_pink,5.900379163290559e-05
30,gill-color_orange,4.919654559334408e-05
57,ring-type_pendant,2.9584954861761047e-05
13,cap-color_buff,1.9694651817236953e-05
45,stem-color_purple,1.965409009065944e-05
54,ring-type_large,1.965409009065944e-05
17,cap-color_pink,1.965409009065944e-05
24,gill-color_black,1.9653126375618334e-05
8,cap-shape_spherical,9.970464823583213e-06
10,cap-color_black,9.847807766139027e-06
65,habitat_waste,9.847807766139027e-06
11,cap-color_blue,9.847807766139027e-06
36,stem-color_black,9.80628232452041e-06
41,stem-color_green,0.0
39,stem-color_buff,0.0
51,ring-type_evanescent,0.0
37,stem-color_blue,0.0
63,habitat_paths,0.0
64,habitat_urban,0.0
32,gill-color_purple,0.0
42,stem-color_none,0.0
55,ring-type_movable,-9.807246039561513e-06
53,ring-type_grooved,-9.807246039561513e-06
26,gill-color_buff,-1.965408610486996e-05
