,Feature,Importance
2,stem-width,0.07856791580603914
47,stem-color_white,0.057322710730795715
0,cap-diameter,0.02565161797973836
34,gill-color_white,0.02386151273728727
1,stem-height,0.023428740041310125
3,cap-shape_bell,0.018471525523753328
12,cap-color_brown,0.010917674830333434
19,cap-color_red,0.009678371200944235
58,ring-type_zone,0.009422641880594074
70,season_winter,0.006491590439657724
4,cap-shape_conical,0.0063538900363922625
23,does-bruise-or-bleed_no,0.003973640208517782
38,stem-color_brown,0.0032654667060096456
25,gill-color_brown,0.0032457952198288397
5,cap-shape_convex,0.00261630766204386
35,gill-color_yellow,0.00261630766204386
22,does-bruise-or-bleed_bruises-or-bleeding,0.0018687911871742013
59,habitat_grasses,0.0013770040326546607
14,cap-color_gray,0.00116061768466611
49,has-ring_none,0.0011606176846660655
66,habitat_woods,0.0010032457952198425
29,gill-color_none,0.0010032457952198204
21,cap-color_yellow,0.0008458739057735753
15,cap-color_green,0.0008458739057735753
6,cap-shape_flat,0.0006885020163273081
48,stem-color_yellow,0.0006491590439657413
69,season_summer,0.0005114586407003018
18,cap-color_purple,0.0004917871545194741
50,has-ring_ring,0.0004721156683387351
27,gill-color_gray,0.00037375823743484026
67,season_autumn,0.00029507229271175106
68,season_spring,0.00027540080653094546
60,habitat_heaths,0.00025572932035018426
20,cap-color_white,0.00023605783416940084
13,cap-color_buff,0.00015737188944626724
7,cap-shape_others,0.00015737188944626724
40,stem-color_gray,0.00013770040326548382
9,cap-shape_sunken,0.00013770040326548382
54,ring-type_large,0.00011802891708470042
62,habitat_meadows,0.00011802891708470042
31,gill-color_pink,9.835743090391702e-05
61,habitat_leaves,9.835743090391702e-05
57,ring-type_pendant,9.835743090391702e-05
24,gill-color_black,3.934297236156681e-05
43,stem-color_orange,3.934297236156681e-05
30,gill-color_orange,3.934297236156681e-05
10,cap-color_black,1.9671486180783405e-05
33,gill-color_red,0.0
28,gill-color_green,0.0
39,stem-color_buff,0.0
16,cap-color_orange,0.0
17,cap-color_pink,0.0
65,habitat_waste,0.0
64,habitat_urban,0.0
63,habitat_paths,0.0
11,cap-color_blue,0.0
41,stem-color_green,0.0
32,gill-color_purple,0.0
26,gill-color_buff,0.0
44,stem-color_pink,0.0
55,ring-type_movable,0.0
36,stem-color_black,0.0
53,ring-type_grooved,0.0
52,ring-type_flaring,0.0
51,ring-type_evanescent,0.0
45,stem-color_purple,0.0
37,stem-color_blue,0.0
42,stem-color_none,-1.9671486180783405e-05
56,ring-type_none,-1.9671486180783405e-05
8,cap-shape_spherical,-1.9671486180783405e-05
46,stem-color_red,-3.934297236156681e-05
